;eccd;mutual_information;trl;term_strength;chi2;linear_measure_5;tfidf
50;0.20481927710843373;0.35135135135135137;0.07526881720430108;0.21951219512195122;0.2987012987012987;0.2345679012345679;0.26582278481012656
100;0.2345679012345679;0.35135135135135137;0.04712041884816754;0.26582278481012656;0.35135135135135137;0.28205128205128205;0.28205128205128205
200;0.2861736334405145;0.39372822299651566;0.041666666666666664;0.3377926421404682;0.3745704467353952;0.3559322033898305;0.2698412698412698
500;0.24688279301745636;0.34408602150537637;0.018329938900203666;0.422475106685633;0.349527665317139;0.44508670520231214;0.3568521031207598
1000;0.21359223300970873;0.2987012987012987;0.009591115598182737;0.4992503748125937;0.30463144161774297;0.5048908954100828;0.4630577907827359
3000;0.0989010989010989;0.1318619128466327;0.016432322547857023;0.19142176330420968;0.1365788975184694;0.19189511323003575;0.18389897395422258
5000;0.08189981607703127;0.10047320347749532;0.02396067990989146;0.1251125112511251;0.10229276895943562;0.1251125112511251;0.12145340361107997
10000;0.06969032465101353;0.07602087480497122;0.04204657948210285;0.08506944444444445;0.07717994290946302;0.08530497069676579;0.08483402039487958
15000;0.08213396818526134;0.08648413733159496;0.03741614219517256;0.09150445697653266;0.08679901463556007;0.09158388822180985;0.09198121792305172
25000;0.11180289958196211;0.11256981375581318;0.10953310846795668;0.11346175258879858;0.11259457053849577;0.1128917378917379;0.11400753069090747
