;eccd;eccd;eccd;eccd;eccd;eccd;tfidf;tfidf;tfidf;tfidf;tfidf;tfidf;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;trl;trl;trl;trl;trl;trl;term_strength;term_strength;term_strength;term_strength;term_strength;term_strength;linear_measure_5;linear_measure_5;linear_measure_5;linear_measure_5;linear_measure_5;linear_measure_5;chi2;chi2;chi2;chi2;chi2;chi2;shap;shap;shap;shap;shap;shap;baseline;baseline;baseline;baseline;baseline;baseline
;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std
50;0.4850080311519146;0.024889055962135895;0.2728504942965169;0.008172783921090427;0.26504665403080124;0.005228745682245706;0.3446298412867933;0.00036764344616450694;0.3737017533191077;0.00015214555606040198;0.3482846068573119;0.00019949069007697384;0.5261398785856457;0.00783563132009153;0.557768558479189;0.005487471799262804;0.5373826482235915;0.00695718162114515;0.39039599871851394;0.03488149701043913;0.15480084912842437;0.004287196358419919;0.14120658000960962;0.009157088755623736;0.5508350683207801;0.0036143858752015253;0.5733446692908217;0.002160616008904873;0.5586948805763942;0.0030185197324199297;0.395876619367827;0.0040275842028019565;0.4271394731752364;0.004704180411125306;0.400381800803905;0.004296943797621598;0.45201718321740464;0.005294208789138913;0.48011113188270704;0.0044467078953115725;0.4581975076662241;0.003251968076878099;0.3609682498503094;0.0004381084071932519;0.3945115025013793;0.00037665002672779226;0.36553077210425844;0.0004611879702333791;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
100;0.5194411901296286;0.01716923262273605;0.4146619334614828;0.007797042062003907;0.41325978527761376;0.003354885323773293;0.4387100245532004;0.00029302334243477027;0.4775547851113041;0.0004325669044915014;0.45081746372548287;0.000354813306618885;0.6469709989547894;0.004027420764708823;0.6639373408671863;0.0031400783571766976;0.6529855589507519;0.003476787507454925;0.4461164891223535;0.013861910430402644;0.4460188527354882;0.02801808329579732;0.4277097078535393;0.02284900684770687;0.680899908636136;0.0032336305255696997;0.6916347672446215;0.002490342928267406;0.6834939094684782;0.0029736771933880574;0.539142607188653;0.00455807412139628;0.5798649501893203;0.0067839741345107965;0.5515693474391108;0.00557268040729013;0.5887069156990269;0.003943353979858205;0.6058654808681989;0.0030158050072728922;0.5939974843676992;0.003724165208550129;0.4532103597059277;0.0005480254982755183;0.48239918567298856;0.00059216794491887;0.46016084730066115;0.0005686966599239365;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
200;0.608659337191787;0.006081859798364144;0.5840788597911425;0.0029160647694916244;0.577552490202116;0.0028153639407113126;0.5668534872444393;0.0003764195271433553;0.5888863296505863;0.00029693572088202407;0.573753566745417;0.00036821306045220373;0.7643535635126837;0.002959166716722477;0.7686105842727549;0.003261270562834606;0.7649518971239653;0.0029989352766214036;0.7246501278534592;0.0013817398309398366;0.7284708861956503;0.0025390127468801313;0.7243980437504431;0.0019494231050503203;0.7866030247524266;0.003348390290707067;0.7909206568043325;0.002879079210667105;0.7868123919658524;0.0030185974724726804;0.7008029679683377;0.004590057874276956;0.7263518100874207;0.0027995409767257564;0.710612539468119;0.003391897173888152;0.7198228074597842;0.0034956041531482253;0.7286789451473574;0.0022631635347557;0.7222517665807361;0.0029078759164966714;0.5845857550490183;0.0005210660299234569;0.6033035883915968;0.0005095457974795986;0.5900826716816;0.0005003718952215123;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
500;0.7682441928371546;0.0035976179701434183;0.7897360015031841;0.002304382315271694;0.7749741236431629;0.003359792574865731;0.7620586143726054;0.00029452307644722397;0.7673451173589625;0.00017435743126013192;0.763263610507418;0.00018936786224785443;0.8699164831775136;0.00205421702539427;0.8722491341498044;0.0016049062927838659;0.8698957929027203;0.001559820745369926;0.8179026224239634;0.0037218898792770305;0.8176231795749332;0.0027044484504406396;0.8159731542914793;0.0029756724144158917;0.8749346162140792;0.0019406499891171751;0.8766866538066275;0.0012305295971042792;0.874408917600326;0.0014280190217669255;0.8535884364346371;0.0018251031176827997;0.8613770670705367;0.002092762919517905;0.856447732735458;0.002021695511536756;0.8498847977406783;0.002003039563873049;0.8580111911741378;0.0012282098428529464;0.8525975177579216;0.0016131305054384985;0.7834935781865553;0.00022107878074271604;0.7870850385195204;9.597113763474839e-05;0.7839488759489298;9.803729369825751e-05;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
1000;0.8890823160778488;0.0025753228878794463;0.9012808692612104;0.0010798644249919345;0.8938402814888768;0.0017081589511264551;0.8765207141545555;9.000675687637297e-05;0.8799254256515028;0.0001982035384076795;0.8774995030995075;0.00011488302950533793;0.9240790429447261;0.0009868710297453447;0.9295633709948692;0.0011213526364773157;0.9260237190012084;0.0010072118039877592;0.8700785065203538;0.002768674524267293;0.8685413291400701;0.002309524737488767;0.867798117850862;0.0024787681809873867;0.9179955402697212;0.0010402742432119648;0.9220260440569987;0.0006827134198848993;0.9189353378400551;0.0007372394118803704;0.9264397972260643;0.0012180946923203984;0.9288765424215912;0.0015753241846436028;0.9271575770127063;0.0014164155030252314;0.913116412052046;0.0015345130314838877;0.9200968500650049;0.0008461021045013869;0.9157490697821646;0.0012027949933316497;0.8964963796787639;0.00010722459604038457;0.8990776865320415;0.00022738373688785423;0.8971555335405217;0.00015734846796985433;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
3000;0.9483613620202795;0.0025673575481320763;0.9558906135821867;0.001819661640198345;0.9516927860458668;0.0022262732926119993;0.9615641965105934;4.190080466832745e-05;0.9639175921000511;0.0001010755562627463;0.96254386935087;6.309514112297808e-05;0.9649699198767632;0.0012260021160787847;0.9692791889592691;0.0011708268663505638;0.966654447939448;0.0012147492113790779;0.9493208317835344;0.001095829960802797;0.9505347548775471;0.0015168762816814441;0.9488293712148156;0.0013635796671659709;0.962669395129292;0.0010466328382437605;0.9676722070609534;0.0012402945133549355;0.9646034261957646;0.001150923345934081;0.970099199994435;0.0018534375722297051;0.9724699696997823;0.001401725245449607;0.9710260522760292;0.0016669102773337174;0.9537128791306435;0.0014284911706608644;0.9596601322633693;0.001301765749634323;0.9562155141325771;0.0014021970501987223;0.9707584986876995;6.973851726298287e-05;0.972030464703948;9.636568037524069e-05;0.9712712581900513;7.17898135737658e-05;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
5000;0.964145256829019;0.0017387065852525203;0.9700742027390094;0.0010994046848257753;0.9667844161664216;0.0014269009146079727;0.9764942601165334;7.06469862972172e-05;0.9793199370259049;5.8852485138904904e-05;0.9777809829287335;5.717543405005257e-05;0.9735295447893606;0.0010296596925321168;0.9779356651732567;0.0009510930771741471;0.9753404172459543;0.0009888263184907361;0.962807451738653;0.0028242664935919613;0.9662248195292609;0.0024330416986498024;0.9637312418806534;0.002768833402677999;0.9720993964569953;0.0012567580753663975;0.9767539184224411;0.001058065122011354;0.9739959692423248;0.0011728803181726799;0.9795117932658355;0.0014120089521496332;0.9825383551695168;0.0011580721460771066;0.9808629279563664;0.0012993029547279896;0.9680197434734066;0.0012612167692460008;0.9727289478557383;0.0012693220305073085;0.9699834237531878;0.0012805736142576947;0.975591050503826;5.317422225860628e-05;0.9771733699827883;5.7066911900277375e-05;0.9762976762043907;5.427633965725799e-05;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
10000;0.9776915654632994;0.0010029663450410245;0.9817496872671339;0.0008070469031738653;0.9794821328479765;0.0009033681166235551;0.9867722467452035;7.358302309579774e-05;0.9888271411345754;4.8061826586068966e-05;0.9877452890688427;6.102969502585721e-05;0.9811469502483483;0.0011540059122219792;0.9837847167555835;0.0011565445302525402;0.9821598853259192;0.0011933367598297414;0.9720116195756434;0.0017683986704566934;0.9764779839816937;0.0018674573379568367;0.9736685680739757;0.0018820671886061366;0.9820720622787201;0.0013521154263287504;0.9846208087899193;0.0013012338709103607;0.9830704035284645;0.0013652003794384481;0.9856909801321201;0.0008143224080373069;0.9877240115260765;0.0009082713545691349;0.9865813884301371;0.0008664817576340513;0.9766140852853706;0.0008156781270234215;0.9807738288397626;0.0008534536348222074;0.9783417422937205;0.0008154639590543788;0.9817884765065473;5.525730515041513e-05;0.9837167648716993;5.245005096105427e-05;0.9826842569270589;4.952184409133268e-05;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
15000;0.9823715735061231;0.0008017782367581339;0.9855758871600264;0.0008526269558528457;0.9837584115630527;0.0008314313944948466;0.9901230479666294;4.550773750174504e-05;0.9920034794255258;3.6615185871327004e-05;0.991021903663958;4.160275980394842e-05;0.9835608166867541;0.0012416562183123188;0.9853293845664103;0.0013907819527830137;0.9841803120138971;0.0013639922995540915;0.9781480308848218;0.001219380673488698;0.9809656325896278;0.0012674016287498983;0.9790833263583479;0.0012747618809271662;0.9845277386369251;0.0011560152501758967;0.9856259026121957;0.0013357410438386056;0.9848385184319305;0.0012977970261038464;0.9861402488350324;0.0016540805669965197;0.986947610557048;0.0018610968230526213;0.9862802194756919;0.0018410060150785266;0.9814734902764343;0.0009840812248712934;0.9846634320428873;0.001127839495897312;0.9827607489871575;0.0010953736630273945;0.9865554147160767;4.614739435644098e-05;0.9886458785324294;2.4070341140673786e-05;0.9875471232689386;3.490086552347898e-05;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
