;shap;shap;shap;shap;shap;shap;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;f_val;f_val;f_val;f_val;f_val;f_val;baseline;baseline;baseline;baseline;baseline;baseline;ppfs;ppfs;ppfs;ppfs;ppfs;ppfs
;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std
1;0.8271418591348395;0.025129255687033236;0.7626952695269527;0.007495756800493106;0.7755858020563716;0.009955472115091771;0.8131163602601786;0.02451717446157392;0.7308690869086909;0.02593514029023287;0.741109981614683;0.030843285140247638;0.3205134722928318;0.00020462238736652886;0.5;0.0;0.3906252947279072;0.00015184088878618073;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
2;0.8822958316740754;0.005846754484016259;0.7873201320132013;0.014833595989565037;0.8082365880734749;0.014537472605480417;0.8759288238754426;0.01408983118990998;0.8165962596259625;0.026538909819955856;0.8315826404110147;0.024273800218984704;0.8759353800825964;0.0031107014686826795;0.7436743674367439;0.01708320841597377;0.7621294316300042;0.019004117404008296;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
3;0.9141062643050301;0.003063616667767579;0.8460869086908691;0.009729101339179229;0.8663556654603066;0.008499799998084692;0.905710613929665;0.007904946904929525;0.8797601760176018;0.013162263144070754;0.8895879627940474;0.011301411982270006;0.8997186861377415;0.0028193393748700253;0.8284477447744776;0.006535997424515556;0.8489652051549743;0.005928709026518283;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
4;0.9297300206166884;0.005379717989681491;0.889992299229923;0.012601199409953464;0.9042761609862999;0.010844394983987768;0.9243929439373388;0.0024374129990987633;0.911979097909791;0.003506184845597988;0.9175672602764668;0.0030456033675189645;0.9211999206783187;0.0027057284143790754;0.8755159515951595;0.005115427421620342;0.8917570046377514;0.004334851284435898;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
5;0.9435735818152441;0.0055963083573043765;0.9191694169416941;0.008518816075004891;0.9292027192019681;0.0074426311212543944;0.9451491270386615;0.006540964726577215;0.9292827282728272;0.010129426788489066;0.9360578400372228;0.008772114951637745;0.9318951519086685;0.002521615692440653;0.8872244224422442;0.006051666593549674;0.9033259040118372;0.004989739766772957;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
6;0.9428063470659422;0.005483719808034765;0.9195841584158415;0.005920590654673407;0.929383147898587;0.0057788177610487955;0.9483836524928414;0.005613458237469977;0.9352233223322333;0.008764439077448973;0.9410019669017846;0.007554061584787874;0.9371004842012877;0.002315672384116645;0.8904169416941695;0.004175196032051504;0.9072945808804389;0.003693675377885539;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
7;0.9573733041513769;0.0036591440928309495;0.9406380638063807;0.005804436256789894;0.9479664114754904;0.0048688223452118245;0.9617634777066739;0.004447299622917336;0.950013201320132;0.0040455078241241425;0.9553480867414106;0.004093833876267301;0.9341425330474143;0.0036971098963015734;0.8897601760176018;0.005416239580085186;0.9058571541271515;0.004676824558320669;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
8;0.9563091882558601;0.003957211441364546;0.9372431243124313;0.006185504182990663;0.9454674691693666;0.005257857867857921;0.9607061512073868;0.005722570621198858;0.9494576457645764;0.0050015929330778485;0.9546024450679542;0.005234943541305378;0.9418460326740228;0.001951495430542941;0.9017821782178219;0.006194774076705299;0.916772885643448;0.004978420467066632;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
9;0.9638118310882501;0.004641745982495874;0.943971397139714;0.005958451138757723;0.9525739732041492;0.005421014742003524;0.9621970692563995;0.0018161275753548786;0.9509834983498351;0.0032763870777289907;0.9561259962557672;0.0026498858655688456;0.9458060659772874;0.0024879858083722652;0.9097227722772278;0.00723450403817395;0.923530635952028;0.005780025241624102;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
10;0.9632793722007105;0.0008881116684546163;0.9472651265126512;0.0027891719821973157;0.9543475852036911;0.001878665568609583;0.9660299737310373;0.0015704664528086373;0.9565291529152915;0.0025025580506216694;0.9609168542435655;0.0019403374689766276;0.9442669721591562;0.00360996711702606;0.9134411441144115;0.009456435796501381;0.9254274619074678;0.007538221646567116;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
