;shap;term_strength;trl;eccd;mutual_information;chi2;tfidf;linear_measure_5
50;82.013822;0.054993;0.217763;0.153079;59.643779;0.039462;0.629851;0.08118
100;82.612244;0.051566;0.197764;0.137805;56.908241;0.036222;0.624174;0.070145
200;83.741894;0.052775;0.226494;0.129242;54.880976;0.032249;0.617982;0.082283
500;87.598196;0.050463;0.221041;0.103161;52.095502;0.036332;0.630833;0.052809
1000;82.960195;0.049472;0.152101;0.099521;54.161853;0.0371;0.629059;0.054192
3000;83.276911;0.049025;0.141403;0.100017;53.055212;0.023858;0.635533;0.048755
5000;88.857281;0.045769;0.136954;0.093795;58.872851;0.023341;0.65546;0.045804
10000;86.685599;0.045668;0.132704;0.09642;43.530214;0.033253;0.622578;0.048966
15000;90.555887;0.048526;0.141301;0.087132;40.918365;0.021664;0.657169;0.045975
25000;90.27636;0.047868;0.123031;0.099143;45.401955;0.022454;0.672681;0.036165
