;shap;term_strength;trl;eccd;mutual_information;chi2;tfidf;linear_measure_5
50;81.73831200000001;0.031801;0.136802;0.12412200000000001;391.794443;0.37744900000000003;5.089698;0.071052
100;81.20069000000001;0.027756000000000003;0.125728;0.121823;386.01103;0.380301;5.11631;0.06399500000000001
200;80.899198;0.033097;0.12976300000000002;0.121065;381.33096800000004;0.37463;5.087699000000001;0.071316
500;80.86840000000001;0.028877000000000003;0.13072;0.124335;389.10429400000004;0.37667300000000004;5.0431930000000005;0.066788
1000;80.724368;0.032036;0.127527;0.12382100000000001;359.845477;0.37540100000000004;5.075862;0.064061
3000;80.661817;0.031668;0.130685;0.12016600000000001;368.22251;0.373989;5.0752440000000005;0.062495
5000;80.79791;0.031906000000000004;0.11901800000000001;0.128078;363.033859;0.37095900000000004;5.085697000000001;0.06284000000000001
10000;80.57442;0.028525000000000002;0.12156;0.114443;390.599424;0.377342;5.101177000000001;0.065543
15000;82.15361800000001;0.027865;0.126756;0.11847500000000001;367.930854;0.37692400000000004;5.928285000000001;0.064337
25000;80.732884;0.047783000000000006;0.7844770000000001;0.11504;431.685065;0.877564;5.41376;0.058971
