;shap;term_strength;trl;eccd;mutual_information;chi2;tfidf;linear_measure_5
50;81.738312;0.031801;0.136802;0.124122;391.794443;0.377449;5.089698;0.071052
100;81.20069;0.027756;0.125728;0.121823;386.01103;0.380301;5.11631;0.063995
200;80.899198;0.033097;0.129763;0.121065;381.330968;0.37463;5.087699;0.071316
500;80.8684;0.028877;0.13072;0.124335;389.104294;0.376673;5.043193;0.066788
1000;80.724368;0.032036;0.127527;0.123821;359.845477;0.375401;5.075862;0.064061
3000;80.661817;0.031668;0.130685;0.120166;368.22251;0.373989;5.075244;0.062495
5000;80.79791;0.031906;0.119018;0.128078;363.033859;0.370959;5.085697;0.06284
10000;80.57442;0.028525;0.12156;0.114443;390.599424;0.377342;5.101177;0.065543
15000;82.153618;0.027865;0.126756;0.118475;367.930854;0.376924;5.928285;0.064337
25000;80.732884;0.047783;0.784477;0.11504;431.685065;0.877564;5.41376;0.058971
